ID Pen Trait_1 Trait_2 Trait_3 Trait_4
M1706_4 7 0.647394434255748 -0.259976522926737 0 0.244087440230737
M2330_4 7 0.0363976458215739 -0.308722744532666 0 0.512808511071909
M501_4 7 -0.286192128296901 -0.131378318859058 0 -0.406730393598196
M536_4 7 0.285295657907326 0.615846275795636 0 -0.62703533672209
F1382_4 8 -0.0374702431095299 0.259512567060363 0 -0.625253594482301
F1869_4 8 0.786748075294704 0.307944882786108 0 -0.538185636877477
F2134_4 8 0.0239055559672475 0.0555021416822846 0 0.449969318361455
F2321_4 8 -0.521099821236472 0.17741925337188 0 0.422826357589392
F862_4 8 0.56388912572076 0.416327596719163 0 -0.248186066130972
M1317_4 8 -0.472795627613504 -0.0666790717407578 0 -0.364469442082523
M1820_4 8 -0.131421825764152 -0.0478439352183562 0 -0.409609550758375
M1942_4 8 0.105513079374247 0.105528906526491 0 0.153281511218824
M1966_4 8 0.313922844779101 0.442254428348093 0 -0.217834665062761
M2281_4 8 -0.758811668457702 0.338199894130568 0 0.054307342403602
M2499_4 8 0.0281741877507625 -0.244950905574239 0 0.48190443140275
M29_4 8 -0.186614427636525 0.161514160778284 0 0.253057739277695
M355_4 8 -0.442205090599575 0.794584617369056 0 -0.595533094876812
M369_4 8 0.195386828991181 0.676189968408052 0 0.287572297964658
F1407_4 9 0.344137792273116 -0.721340691271823 0 -0.571269174294125
F1543_4 9 0.216938835346196 0.183972197332616 0 0.26462933465094
F1704_4 9 -0.551211135698693 0.214335367190206 0 0.299781125638311
F323_4 9 -0.509831507044206 -0.0704256593272616 0 0.523096134274718
F66_4 9 0.306148125084837 -0.145806485601275 0 -0.838806322012531
M1073_4 9 0.0878511948784412 0.736033107938133 0 0.290198766287209
M1266_4 9 0.877015844909625 0.177448307341686 0 -0.308463602701809
M1340_4 9 -0.326050339560847 -0.00538883661035516 0 0.305025004127591
M135_4 9 -0.40124080836427 -0.0356143299123785 0 0.585913670064271
M1841_4 9 -0.24693215241056 -0.0215137569750665 0 0.916639814420811
M219_4 9 -0.00949411721684901 -0.401944989673884 0 0.357278383115884
M361_4 9 -0.640058800281117 -0.247087604162145 0 -0.69857430845823
M532_4 9 -0.518383156371384 0.11444813860731 0 0.276025843900445
M751_4 9 0.242567721183705 0.0925464350737202 0 0.214804803682186
F1315_4 10 0.534060333577824 -0.128204895925674 0 -0.471229220786366
F1655_4 10 0.158976164619144 0.401680940438701 0 0.520265751369344
F628_4 10 -0.000900504838314581 -0.521748112489564 0 -0.190055001568004
F882_4 10 -0.966403995670153 -0.243300140646854 0 0.585067472545006
M1101_4 10 -0.848591364787243 -0.215232599873186 0 -0.598586106056884
M1148_4 10 -0.359223015284215 0.291528850584297 0 0.0115535753927005
M1218_4 10 -0.81664700525531 0.539435656521171 0 0.325013294576121
M1242_4 10 0.38264811130669 1.04761454430928 0 0.613926689664531
M2153_4 10 0.69921429692064 0.719705971544709 0 -0.171765178321446
M2178_4 10 0.34683477584603 -0.298448771533247 0 -0.198590348731469
M273_4 10 -0.314283445855993 -0.578727361400591 0 0.73033029784745
M418_4 10 0.0059537435516397 0.294316802658215 0 -0.113156577879728
M867_4 10 0.499174952612127 0.0936805191974973 0 -0.0608160269623126
M912_4 10 -0.475609187899608 -0.443497078294631 0 -0.148675700586534
F1021_4 11 -0.0841720374940301 0.701057435700644 0 0.391381536991715
F1699_4 11 0.164414951955589 -0.426585681918049 0 -0.207494360470872
F1930_4 11 0.189193021541449 0.0548369036686821 0 -0.291165197145712
F1982_4 11 0.000380448186064572 -0.727955747004949 0 0.637316062547452
F2336_4 11 -0.0863451860727679 0.573724033588577 0 -0.548755141166489
F2360_4 11 1.27440339050585 0.50056149692959 0 -0.128370242289647
F245_4 11 -0.0989651632050162 0.954874908201354 0 0.417727923773331
F410_4 11 -0.437220038823882 0.475801661054055 0 0.211446827453282
M1611_4 11 0.069585005749403 0.41793985016342 0 -0.220493450601572
M2652_4 11 0.238219487972779 -0.185787111027315 0 -0.063304430488005
M500_4 11 -0.311734908716944 0.114880141907136 0 -0.175716712817141
M664_4 11 0.0995377674227077 0.488467024849522 0 -0.0777170796567427
M719_4 11 -0.0714418569757191 0.978463712971226 0 0.265211475300719
M818_4 11 0.0975982002227055 0.14443494789367 0 0.419844590891959
F1422_4 12 -0.0366701759069444 -0.0652019095164444 0 0.909721647124789
F1436_4 12 0.0436770990231813 0.000318700840496455 0 0.147183280276904
F2294_4 12 0.269682440480815 -0.865799733922482 0 -0.231670425716838
F2656_4 12 -1.04638706919727 0.105515505444749 0 -0.277808549045781
F780_4 12 -0.152347310651198 0.640687970151211 0 -0.00970496773642926
F798_4 12 0.574835302430482 -0.301296062009727 0 -0.105739845233324
F900_4 12 0.186880902395664 0.149523992319685 0 -0.19723899227864
F9_4 12 0.903416648641068 0.701573118655677 0 0.0681234355232449
